Codigo,Descripcion,Cantidad,Costo
50-096-001,TUW04780-540 Blanco Presidente ( Flint ),0.00,0.00
50-096-002,TUR04781-540 Rojo Presidente ( Flint ),0.00,0.00
50-096-003,TUB04782-540 Azul CM Presidente ( Flint ),0.00,0.00
50-096-004,TUW04783-540 Dorado LT Presidente ( Flint ),0.00,0.00
50-096-005,TUG04784-540 Verde CM Presidente ( Flint ),0.00,0.00
50-096-006,TUK04785-540 Negro Presidente ( Flint ),0.00,0.00
50-096-007,TUW04789-540 Extender  Presidente ( Flint ),0.00,0.00
50-096-008,SF-Y8041-BB Low Voc Yellow ( Flint ),0.00,0.00
50-096-009,SF-K8041-BB Low Voc Black  ( Flint ),0.00,0.00
50-096-010,SF-M8041-BB Low Voc Magenta ( Flint ),0.00,0.00
50-096-011,SF-C8041-BB Low Voc Cyan ( Flint ),0.00,0.00
50-096-012, UOK3-0080-712U Litkett Bw4 Magenta  Proceso ( Flint ),0.00,0.00
50-096-013,UOK5-0080-712U Litkett Bw4 Cyan  Proceso ( Flint ),0.00,0.00
50-096-014,UOK8-0080-712U Litkett Bw4 Black  Proceso ( Flint ),0.00,0.00
50-300-013,10-3505 Amarillo Proceso Uni Brillant Epple,302.50,120630.00
50-300-014,10-3506 Magenta Uni Brillant Epple,91.50,37698.00
50-300-015,10-3507 Cyan Uni Brillant Epple,113.50,46762.00
50-300-016,10-3508 Negro Proceso Uni Brillant Epple,109.00,44908.00
50-300-037,LMQ Reflex Blue B 63450 (LMB65),0.00,0.00
50-300-055,G28110 Amarillo Irocart,68.00,45761.71
50-300-057,INT 09 PROCESS YELLOW,16.50,6870.74
50-300-058,INT 24 PROCESS BLACK,0.00,0.00
50-300-059,INT 38 PROCESS CYAN,10.00,4236.73
50-300-060,INT 39 PROCESS MAGENTA,7.50,3177.52
50-300-102,O28200 Naranja Irocart,0.00,0.00
50-300-165,P28705 Rojo Rubine Irocart,82.50,52021.52
50-300-168,R26305 Warm Red Hartmann,77.50,45030.40
50-300-169,P28700 Rojo Rubine Hartmann,2.50,1079.81
50-300-170,R28300 Rojo Irocart,17.50,9856.80
50-300-176,IRO59 Irocart Base Bordeaux,0.00,0.00
50-300-186,Purple  Pantone  VS3-  38104 Vanson,1.00,1395.00
50-300-207,B28400  Irocart 072 Azul,2.50,2181.36
50-300-208,B28420 Azul Irocart,2.50,1074.52
50-300-209,B2820 Azul Irocart,25.00,9986.55
50-300-211,B28410 Azul Irocart,0.00,0.00
50-300-214,Azul Reflex Pantone  Epple  62105,4.00,3526.72
50-300-215,Forms Invisible Blue  Ref:  90022646,0.00,0.00
50-300-216, Pantone Rojo 032  Epple  62111-1,0.00,0.00
50-300-217,"Plata rapido secado, Silver Low VOC, Formula 132-1225",2.27,4229.68
50-300-218,Pantone Rojo Rubine  62102-1 Epple.,4.00,2436.60
50-300-219,Secante UPAX 2527,0.00,0.00
50-300-258,P28730 Purpura Irocart,7.50,8976.73
50-300-259,P28755 Violeta Irocart,0.00,0.00
50-300-260,P28760 Violeta Irocart,0.00,0.00
50-300-261,P28770 Violeta Irocart,40.00,43382.80
50-300-264,P-28720 Irocart Rodamine,2.50,2753.31
50-300-265,Pantone Green VS38107,7.00,3780.00
50-300-266,Pantone Rhodamine VS55103,1.00,1036.10
50-300-303,V28500 Verde Irocart,7.50,4729.23
50-300-352,S28900 Negro Irocart,19.50,9738.45
50-300-402,W26000 Blanco Transparente hartmann,30.00,13241.85
50-300-403, Blanco Transparente 62108-1 Epple,0.00,0.00
50-301-203,R88-5297 Azul Reflejo GPI,0.00,0.00
50-301-820, Blanco Opaco 1236 Epple,1.50,838.01
50-302-009,46 G -2985 Pasta Bronce Oro Rico Palido,9.00,13355.83
50-302-010,46 A -2050 Pasta Bronce Oro Rico,17.00,28165.75
50-302-011,46 G -2995 Pasta Bronce Oro Palido,0.00,0.00
50-302-012,10 G -0009 Pasta Bronce Cobre,0.00,0.00
50-302-014,10 A-0020 Barniz Bronce,26.00,22548.29
50-302-104,VS-877 Plateado Vanson,3.00,7710.00
50-302-107,LMQ Silver Premium (MT511) Nota: junto con el material 50-302-108.,0.00,0.00
50-303-008,"Aquatrain 300-ed, barniz acrílico p/bateria",0.00,0.00
50-303-028,AQG258G Barniz Acrílico Nicoat (Contacto con Alimentos),0.00,0.00
50-303-030,Barniz Acrílico Nicoat # 2710 (AQF232G) (ALTO BRILLO),0.00,0.00
50-303-035,Barniz Nicoat  Para Contraste Textura 10BM-131 (UV),0.00,0.00
50-303-039,AQK651-1G Barniz  especial para cigarrillos.,29.00,4433.94
50-303-044,7036AB Barniz UV,127.50,55032.18
50-303-045,Barniz Nicoat  UV. Mate de Bacteria UV75D,0.00,0.00
50-303-046,AQK640G Barniz Brillo base agua,1925.60,256835.97
50-303-047,Barniz Nicoat  UV K440G-XH,0.00,0.00
50-303-048,Barniz Nicoat  616 G (UV),0.00,0.00
50-303-049,Barniz Nicoat  AQJ541G ( Antigraso),0.00,0.00
50-303-050,A11163G Barniz alto brillo base agua,2901.60,563215.62
50-303-051,Barniz Nicoat  U56503-3D,66.00,79953.57
50-303-052,Barniz Nicoat U11541-2G,42.00,17138.64
