Codigo,Descripcion,Cantidad,Costo
50-096-001,TUW04780-540 Blanco Presidente ( Flint ),66.67,20122.77
50-096-002,TUR04781-540 Rojo Presidente ( Flint ),15.42,5466.39
50-096-003,TUB04782-540 Azul CM Presidente ( Flint ),17.23,19306.02
50-096-004,TUW04783-540 Dorado LT Presidente ( Flint ),18,16794.23
50-096-005,TUG04784-540 Verde CM Presidente ( Flint ),15.42,4716.72
50-096-006,TUK04785-540 Negro Presidente ( Flint ),15,4229.34
50-096-007,TUW04789-540 Extender  Presidente ( Flint ),30.39,8279.06
50-096-008,SF-Y8041-BB Low Voc Yellow ( Flint ),0,0
50-096-009,SF-K8041-BB Low Voc Black  ( Flint ),0,0
50-096-010,SF-M8041-BB Low Voc Magenta ( Flint ),0,0
50-096-011,SF-C8041-BB Low Voc Cyan ( Flint ),0,0
50-096-012, UOK3-0080-712U Litkett Bw4 Magenta  Proceso ( Flint ),5,10877.38
50-096-013,UOK5-0080-712U Litkett Bw4 Cyan  Proceso ( Flint ),5,10696.09
50-096-014,UOK8-0080-712U Litkett Bw4 Black  Proceso ( Flint ),5,8834.38
50-300-013,10-3505 Amarillo Proceso Uni Brillant Epple,0,0
50-300-014,10-3506 Magenta Uni Brillant Epple,0,0
50-300-015,10-3507 Cyan Uni Brillant Epple,0,0
50-300-016,10-3508 Negro Proceso Uni Brillant Epple,0,0
50-300-037,LMQ Reflex Blue B 63450 (LMB65),5,3459.92
50-300-055,G28110 Amarillo Irocart,120,81174.18
50-300-057,INT 09 PROCESS YELLOW,16.5,6870.74
50-300-058,INT 24 PROCESS BLACK,0,0
50-300-059,INT 38 PROCESS CYAN,10,4236.73
50-300-060,INT 39 PROCESS MAGENTA,7.5,3177.52
50-300-102,O28200 Naranja Irocart,17.5,8821.85
50-300-165,P28705 Rojo Rubine Irocart,97.5,61479.97
50-300-168,R26305 Warm Red Hartmann,87.5,50840.77
50-300-169,P28700 Rojo Rubine Hartmann,7.5,3239.42
50-300-170,R28300 Rojo Irocart,160,92146.37
50-300-176,IRO59 Irocart Base Bordeaux,22.5,25514.98
50-300-186,Purple  Pantone  VS3-  38104 Vanson,6,8370
50-300-207,B28400  Irocart 072 Azul,102.5,89225.38
50-300-208,B28420 Azul Irocart,162.5,69653.04
50-300-209,B2820 Azul Irocart,30,11983.86
50-300-211,B28410 Azul Irocart,40,13930
50-300-214,Azul Reflex Pantone  Epple  62105,5,4408.4
50-300-215,Forms Invisible Blue  Ref:  90022646,6.81,13754.05
50-300-216, Pantone Rojo 032  Epple  62111-1,0,0
50-300-217,"Plata rapido secado, Silver Low VOC, Formula 132-1225",27.24,50756.1
50-300-218,Pantone Rojo Rubine  62102-1 Epple.,7,4264.05
50-300-219,Secante UPAX 2527,0,0
50-300-258,P28730 Purpura Irocart,30,35906.91
50-300-259,P28755 Violeta Irocart,17.5,67920.41
50-300-260,P28760 Violeta Irocart,95,80032.57
50-300-261,P28770 Violeta Irocart,47.5,51517.07
50-300-264,P-28720 Irocart Rodamine,107.5,123582.1
50-300-265,Pantone Green VS38107,28,15120
50-300-266,Pantone Rhodamine VS55103,20,20722
50-300-303,V28500 Verde Irocart,92.5,58327.15
50-300-352,S28900 Negro Irocart,64,31962.01
50-300-402,W26000 Blanco Transparente hartmann,67.5,29794.13
50-300-403, Blanco Transparente 62108-1 Epple,8,3676.67
50-301-203,R88-5297 Azul Reflejo GPI,36.81,16600.29
50-301-820, Blanco Opaco 1236 Epple,12,6704.04
50-302-009,46 G -2985 Pasta Bronce Oro Rico Palido,61,93245.8
50-302-010,46 A -2050 Pasta Bronce Oro Rico,66,111524.58
50-302-011,46 G -2995 Pasta Bronce Oro Palido,236,273881.67
50-302-012,10 G -0009 Pasta Bronce Cobre,29,3018.32
50-302-014,10 A-0020 Barniz Bronce,76,65910.42
50-302-104,VS-877 Plateado Vanson,3,7710
50-302-107,LMQ Silver Premium (MT511) Nota: junto con el material 50-302-108.,5,24154.49
50-303-008,"Aquatrain 300-ed, barniz acrílico p/bateria",508.5,441929.65
50-303-028,AQG258G Barniz Acrílico Nicoat (Contacto con Alimentos),252,100884.64
50-303-030,Barniz Acrílico Nicoat # 2710 (AQF232G) (ALTO BRILLO),120.2,31209.01
50-303-035,Barniz Nicoat  Para Contraste Textura 10BM-131 (UV),291.21,362500.29
50-303-039,AQK651-1G Barniz  especial para cigarrillos.,2200,336368.12
50-303-044,7036AB Barniz UV,1865,804980.63
50-303-045,Barniz Nicoat  UV. Mate de Bacteria UV75D,179.43,78574.12
50-303-046,AQK640G Barniz Brillo base agua,2692.89,359176.85
50-303-047,Barniz Nicoat  UV K440G-XH,36,19388.38
50-303-048,Barniz Nicoat  616 G (UV),2,853.92
50-303-049,Barniz Nicoat  AQJ541G ( Antigraso),151.3,38075.22
50-303-050,A11163G Barniz alto brillo base agua,3460.17,671636.91
50-303-051,Barniz Nicoat  U56503-3D,640,799149.31
50-303-052,Barniz Nicoat U11541-2G,1008.5,410311.32
50-303-054,Barniz Nicaot A11100G,17,12222.45
50-303-055,Barniz Nicaot AQK667D Mate,340.2,69171.49
50-305-011,MFX Silver Coated 06-9000NL,9.8,26588.04
50-305-102,VS-179 Tinta Magnetica Vanson,2,870
50-305-217,Rosado Fluorescente 806,25.4,13279.63
50-305-218,Violeta Fluorescente 807,21.77,11668.72
50-305-219,Naranja Fluorescente 804,12.42,6909
50-306-015,Suavizante de Tinta Epple 348,3,2583.11
50-307-005,Blanco Opaco UV SunCure USL84-EA1 (Lata 3 Kgs),326,331921.11
50-307-007,USL48-EA1 Blanco Transparente UV SunCure,57,58512.47
50-307-008,USL31-EA1 Warm Red UV SunCure,162,119127.64
50-307-009,Red 032 UV SunCure USL32-EA1,14,12071.99
50-307-013,Dorado UV  871 (300  05298),54.4,159586.26
50-307-014,Dorado UV  872 (300  05367),5.44,15161.3
50-307-015,Dorado UV  873 (300  05369),70.72,207462.14
50-307-016,Plata (Silver)  UV  877-132-1259 E,132.3,105655.75
50-307-017,FLPSV2483066/C228 Synergy  UV PRO Yellow,706.07,736885.4
50-307-018,Naranja Florecente UV (ORAGE 804),10.92,26265.66
50-307-019,FLPSV5483068 Synergy UV PRO Cyan,361.03,400186.02
50-307-020,FLPSV2483067 Synergy UV PRO Magenta (Lata 5 Libs.),104.42,97610.97
50-307-021,FLPSV9483069 Synergy UV PRO Black (Lata 5 Libs.),112.27,124624.04
50-307-022,USL21 PANTONE ORANGE  (Lata 5 Libs.) ,9,17048.74
50-307-024,USL71 Pantone Green  (Lata 5 Libs.),39,45173.92
50-307-025,USL24-EA1 Negro Intenso UV SunCure,54,113143.47
50-307-026,Tinta Plata Pigmentación Offset  UV (SCHLENK),4,58849.96
50-307-028,Azul UV O/S Therm 8C Chuv-9988 Termocromica   Wikoff Color,12.78,56658.32
50-307-10,USL61-EA1 Reflex Blue UV SunCure,109,129648.44
50-307-11,Purple UV SunCure USL51-EA1,27,52968.99
50-307-12,Rhodamine UV SunCure USL55-EA1,105,168599.68
50-309-001C,Banderillas para identificar Carcacho,11500,0
50-309-002DV,Banderillas para identificar Defectos Varios,14000,0
50-309-003R,Banderillas para identificar problemas de registros,13500,0
50-309-004VC,Banderillas para identificar Variación Color,14500,0
50-309-005PA,Banderillas para identificar Parada A,10500,0
50-309-006PB,Banderillas para identificar Parada B,21000,0
50-906-015,UOK1-0080-712U Lithokett Bw4 Yellow  Proceso ( Flint ),0,0
50-906-016,Barniz Mirafoil UV54027,7,37544.92
50-906-017,Blanco Opaco Ref: FFS 31057694KC 800-SNW/12# ( Prueba Pleg.Barcelo,11.8,13865.72
50-906-018,Barniz UV Gloss Ref: U11849G ( Para  Alcalinidad ),18,2125.11
50-906-019,Barniz UV Dull Ink Ref: U56528D  ( para Transparencia ),3.63,425.02
50-906-020,Adhesivo NCW723TN  ( para Desgarre ),20,12551.44
51-095-001,V4W90810-Printing Ink Other 2712.90.000 ( Flint ),5,660.7
51-095-002,RDW63766-Printing Ink Other 2915.39.8000 ( Flint ),3.6,546.03
51-095-003,VNY00523-Printing Ink Other  Flexo-3215.19.0020 ( Flint ),16,3478.23
51-095-004,VNR00604-Printing Ink Other  Flexo-3215.19.0020 ( Flint ),16,2752
51-095-005,VNR00683-Printing Ink Other  Flexo-3215.19.0020 ( Flint ),16,4070.67
51-095-007,VNB02248-Printing Ink Other  Flexo-3215.19.0020 ( Flint),16,3612
51-095-008,VNP00598-Printing Ink Other  Flexo-3215.19.0020 ( Flint),16,8389.79
51-095-010,T1W11278-Printing Ink Other  Flexo-3215.19.0020 ( Flint),32,4777.78
51-095-011,VNK00524-Printing Ink Other  Flexo-3215.11.0020 ( Flint),16,1834.67
51-095-012,Blanco Opaco FDW47 SolarFlex Neutron White,10,12695.24
51-095-013,Negro Proceso  Plus Ref: 7JBWG8592,7.26,3334.91
51-095-014,Magenta  Proceso  Plus Ref: 7JRWG7170,7.26,4771.39
51-095-015,Amarillo  Proceso  Plus Ref: 7JYWG2183,7.26,3844.32
51-095-016,Cyan  Proceso  Plus Ref: 7JAWG7173,7.26,3856.98
51-320-033,Pantone Naranja 021,51,16028.66
51-320-065,Rojo 032 Nipol Lam,102.64,31780.42
51-320-066,Azul 281C Nipol Lam,96,28513.04
51-320-070,Blanco Opaco Cano Nipol Lam,70,10153.85
51-320-074,Rojo Pantone 185 Nipol Lam.,40,10887
51-320-077,Azul Pantone 286 Nipol Lam.,53,16089.36
51-320-078,Azul Pantone 294 Nipol Lam.,44,10910.81
51-320-079,Azul Pantone 290 Nipol Lam.,93,17489.32
51-320-080,Rojo Pantone 485 Nipol Lam.,71,21846.94
51-320-091,Coca Cola Red Referencia: H134400012-SEdpl-703 COCA COLA RED,22,22626.21
