Codigo,Descripcion,Cantidad,Costo
A-001,Lapiz ,350,3500
A-002,Lapicero Azul,450,2625
A-003,Lapicero Negro,400,1750
A-004,Cartulina,350,1750
A-005,Borrador,250,525
A-006,Pegamento,225,6125
A-007,Regla,200,3307
A-008,Cuaderno 144 paginas,650,27125
A-009,Cuaderno 200 paginas,450,21525
A-010,Grapadora,200,5600
A-011,Folder,1250,3675
A-012,Faldos de Hojas ,200,17150
A-013,Postick,180,2100
A-014,Cajita de Grapas,170,3150
A-015,Resaltador,240,5425
A-016,Crayon,210,3850
A-017,Cajitas Gomitas,165,2625
A-018,Tape,185,6300
A-019,Marcador Azul,230,6825
A-020,Marcador Negro,210,4725
A-021,Colores,150,2500
A-022,Carpeta,100,2000
