Codigo,Descripcion,Cantidad,Costo
A-001,Lapiz ,200,2000
A-002,Lapicero Azul,300,1500
A-003,Lapicero Negro,250,1000
A-004,Cartulina,200,1000
A-005,Borrador,100,300
A-006,Pegamento,75,3500
A-007,Regla,50,1890
A-008,Cuaderno 144 paginas,500,15500
A-009,Cuaderno 200 paginas,300,12300
A-010,Grapadora,50,3200
A-011,Folder,1100,2100
A-012,Faldos de Hojas ,50,9800
A-013,Postick,30,1200
A-014,Cajita de Grapas,20,1800
A-015,Resaltador,90,3100
A-016,Crayon,60,2200
A-017,Cajitas Gomitas,15,1500
A-018,Tape,35,3600
A-019,Marcador Azul,80,3900
A-020,Marcador Negro,60,2700
